Feature,CorrectnessTest,PerformanceTest
"Chunked Prefill",✅ Passing,✅ Passing
"DCN-based P/D disaggregation",❌ Failing,✅ Passing
"KV Cache Offload",✅ Passing,✅ Passing
"LoRA_Torch",❌ Failing,❓ Untested
"Multimodal Inputs",❌ Failing,❓ Untested
"Out-of-tree model support",❌ Failing,❓ Untested
"Prefix Caching",✅ Passing,✅ Passing
"Single Program Multi Data",✅ Passing,✅ Passing
"Speculative Decoding: Eagle3",❌ Failing,❓ Untested
"Speculative Decoding: Ngram",❌ Failing,❓ Untested
"Step Pooling (Embedding)",✅ Passing,❓ Untested
"async scheduler",❌ Failing,❓ Untested
"hybrid kv cache",❌ Failing,❓ Untested
"multi-host",✅ Passing,❓ Untested
"runai_model_streamer_loader",❌ Failing,❓ Untested
"sampling_params",❌ Failing,❓ Untested
"structured_decoding",❌ Failing,❓ Untested
